Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Implied Public Rights of Action [article],"Davis, Seth (Cited 206 times)",6296,"Columbia Law Review, Vol. 114, Issue 1 (January 2014), pp. 1-84",114 Colum. L. Rev. 1 (2014),"Law and Society, Remedies, Legislation, Administration Law, Supreme Court of the United States",98,1,29
The False Promise of Fiduciary Government [article],"Davis, Seth (Cited 206 times)",6296,"Notre Dame Law Review, Vol. 89, Issue 3 (January 2014), pp. 1145-1208",89 Notre Dame L. Rev. 1145 (2013-2014),"Constitutional Law, Government, Jurisprudence, Politics, Public Law",22,na,39
"Conditional Preemption, Commandeering, and the Values of Cooperative Federalism: An Analysis of Section 216 of Epact [notes]","Davis, R. Seth (Cited 206 times)",6296,"Columbia Law Review , Vol. 108, Issue 2 (March 2008), pp. 404-451",108 Colum. L. Rev. 404 (2008),"Federalism, Jurisdiction, Constitutional Law, Judges",15,na,7
Standing Doctrine's State Action Problem [article],"Davis, Seth (Cited 206 times)",6296,"Notre Dame Law Review, Vol. 91, Issue 2 (December 2015), pp. 585-648",91 Notre Dame L. Rev. 585 (2015-2016),"Constitutional Law, Jurisdiction, Standing, State Action",12,na,21
"Minor Courts, Major Questions [article]","Coenen, Michael (Cited 121 times); Davis, Seth (Cited 206 times)",6296,"Vanderbilt Law Review, Vol. 70, Issue 3 (April 2017), pp. 777-844",70 Vand. L. Rev. 777 (2017),"Courts, Supreme Court of the United States, Judges, Legislation, Separation, Separation of Powers",12,na,31
Supreme Court Nominations and the News Media [notes],"Davis, Richard (Cited 206 times)",6296,"Albany Law Review, Vol. 57, Issue 4 (1994), pp. 1061-1080",57 Alb. L. Rev. 1061 (1993-1994),"Communications Law, News Media, Nominations, Conflict of Laws, Judges, Politics",10,na,52
State Remedies for Human Rights [article],"Davis, Seth (Cited 206 times); Whytock, Christopher A. (Cited 350 times)",6296,"Boston University Law Review, Vol. 98, Issue 2 (March 2018), pp. 397-484",98 B.U. L. Rev. 397 (2018),"Human Rights Law, Human Rights Law, Remedies, States, Business Organizations, Dispute Resolution",7,na,50
Lifting the Shroud: News Media Portrayal of the U.S. Supreme Court [article],"Davis, Richard (Cited 206 times)",6296,"Communications and the Law, Vol. 9, Issue 5 (October 1987), pp. 43-60",9 Comm. & L. 43 (1987),"News Media, Elections, Congress",7,na,9
Tribal Rights of Action [article],"Davis, Seth (Cited 206 times)",6296,"Columbia Human Rights Law Review, Vol. 45, Issue 2 (Winter 2014), pp. 499-551",45 Colum. Hum. Rts. L. Rev. 499 (2013-2014),"Indian Law, Remedies, Endangered Species, Natural Resources Law, War, Water Law",7,na,14
American Colonialism and Constitutional Redemption [comments],"Davis, Seth (Cited 206 times)",6296,"California Law Review, Vol. 105, Issue 6 (December 2017), pp. 1751-1806",105 Calif. L. Rev. 1751 (December 2017),"Legal History, Constitutional Law, Religion",4,na,54
Equal Sovereignty as a Right against a Remedy [article],"Davis, Seth (Cited 206 times)",6296,"Louisiana Law Review, Vol. 76, Issue 1 (Fall 2015), pp. 83-120",76 La. L. Rev. 83 (Fall 2015),"Sovereignty, Constitutional Law, Race",4,na,13
The Role of the Federal Judiciary in the Development of Federalism in West Germany and the United States [article],"Davis, Richard (Cited 206 times); Burnham, Jeffrey (Cited 3 times)",6296,"Boston College International and Comparative Law Review, Vol. 12, Issue 1 (Winter 1989), pp. 63-88",12 B. C. Int'l & Comp. L. Rev. 63 (1989),"Constitutional Law, Courts, Federalism, Judiciary, States, Sovereignty",3,na,8
Presidential Government and the Law of Property [article],"Davis, Seth (Cited 206 times)",6296,"Wisconsin Law Review, Vol. 2014, Issue 3 (2014), pp. 471-556",2014 Wis. L. Rev. 471 (2014),"Government, President/Executive Department, Jurisprudence, Law and Society, Possession, National Security",2,na,12
State Standing for Equality [article],"Davis, Seth (Cited 206 times)",6296,"Louisiana Law Review, Vol. 79, Issue 1 (Fall 2018), pp. 147-188",79 La. L. Rev. 147 (2018-2019),"Standing, Constitutional Law, Environmental Law, Jurisdiction, State and Local Government Law",1,na,25
The Private Rights of Public Governments [article],"Davis, Seth (Cited 206 times)",6296,"Notre Dame Law Review, Vol. 94, Issue 5 (May 2019), pp. 2091-2126",94 Notre Dame L. Rev. 2091 (2018-2019),"Constitutional Law, Environmental Law, Practice and Procedure, Standing, Federalism, Jurisdiction, States",1,na,5
The New Public Standing [article],"Davis, Seth (Cited 206 times)",6296,"Stanford Law Review, Vol. 71, Issue 5 (May 2019), pp. 1229-1304",71 Stan. L. Rev. 1229 (2019),"Natural Law, Communications Law, Intellectual Property Law, Courts, Federal Courts, Standing, Taxation-Federal Income, Taxation-State and Local",1,na,20
Introduction: Global Dimensions of Indigenous Self-Determination [comments],"Davis, Seth (Cited 206 times)",6296,"Indigenous Peoples' Journal of Law, Culture and Resistance, Vol. 5, pp. 1-6",5 Indigenous Peoples' J. L. Culture & Resistance 1 (2019),"Contracts, Law and Society, Self-Determination, Environmental Law, Human Rights Law, Indigenous Peoples",na,na,6
More than Castles in the Clouds: An introduction to Cloud Computing [article],"Freedman, Lawrence (Cited 7 times); Davis, Richard (Cited 206 times)",6296,"New Jersey Lawyer, Vol. 2012, Issue 5 (October 2012), pp. 17-20",2012 N.J. Law. 17 (2012),"Cloud Computing, Consumer Protection Law, Data Protection, European Union, International Law: History, Private International Law",na,na,na
The Constitution of Our Tribal Republic [article],"Davis, Seth (Cited 206 times)",6296,"UCLA Law Review, Vol. 65, Issue 6 (September 2018), pp. 1460-1481",65 UCLA L. Rev. 1460 (2018),"Courts, Sovereignty, Credit, Full Faith and Credit, Jurisdiction, Fourteenth Amendment, Indian Law",na,na,40
