Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Airspace in an Age of Drones [article],"Rule, Troy A. (Cited 173 times)",1663,"Boston University Law Review, Vol. 95, Issue 1 (January 2015), pp. 155-208",95 B.U. L. Rev. 155 (2015),"Age, Air and Space Law, Drones, Fourth Amendment, Housing Law, Law Enforcement and Corrections, Trespass, Law Enforcement, Legislation, Search Warrants",41,na,123
A Downwind View of the Cathedral: Using Rule Four to Allocate Wind Rights [article],"Rule, Troy (Cited 173 times)",1663,"San Diego Law Review, Vol. 46, Issue 1 (February-March 2009), pp. 207-246",46 San Diego L. Rev. 207 (February-March 2009),"Property, Property Law, Natural Resources, Utilities, Wind Energy",26,na,6
Shadows on the Cathedral: Solar Access Laws in a Different Light [article],"Rule, Troy A. (Cited 173 times)",1663,"University of Illinois Law Review, Vol. 2010, Issue 3 (2010), pp. 851-896",2010 U. Ill. L. Rev. 851 (2010),"Easements, Natural Resources Law, Solar Energy, Property, Regulation, Zoning",24,na,14
Property Rights and Modern Energy [article],"Rule, Troy A. (Cited 173 times)",1663,"George Mason Law Review, Vol. 20, Issue 3 (Spring 2013), pp. 803-836",20 Geo. Mason L. Rev. 803 (2012-2013),"Property, Renewable Energy",18,na,26
Renewable Energy and the Neighbors [article],"Rule, Troy A. (Cited 173 times)",1663,"Utah Law Review, Vol. 2010, Issue 4 (2010), pp. 1223-1276",2010 Utah L. Rev. 1223 (2010),"Environment, Land Use Planning, Renewable Energy, Taxation-State and Local, State and Local Government Law, Land Use",16,na,11
"Solar Energy, Utilities, and Fairness [article]","Rule, Troy A. (Cited 173 times)",1663,"San Diego Journal of Climate & Energy Law, Vol. 6, pp. 115-148",6 San Diego J. Climate & Energy L. 115 (2014-2015),"Solar Energy, Utilities, Antitrust, Compensation, Courts, Public Policy, Money, Politics",16,na,10
Drone Zoning [article],"Rule, Troy A. (Cited 173 times)",1663,"North Carolina Law Review, Vol. 95, Issue 1 (December 2016), pp. 133-200",95 N.C. L. Rev. 133 (2016-2017),"Air and Space Law, Land Use, Zoning, Drones, Federalism",10,na,70
Airspace and the Takings Clause [article],"Rule, Troy A. (Cited 173 times)",1663,"Washington University Law Review, Vol. 90, Issue 2 (2012), pp. 421-472",90 Wash. U. L. Rev. 421 (2012-2013),"Takings, Takings Clause, Airports, Police, Police Power, States",9,na,5
Using Norms to Change International Law: UN Human Rights Laws Sneaking in through the Back Door [notes],"Rule, Troy (Cited 173 times)",1663,"Chicago Journal of International Law, Vol. 5, Issue 1 (Summer 2004), pp. 325-334",5 Chi. J. Int'l L. 325 (2004-2005),"International Trade, Human Rights Law, International Law, Corporations, Multinational Corporations",8,na,17
Transmission and Transport of Energy in the Western U.S. and Canada: A Law and Policy Road Map [article],"DuVivier, K. K. (Cited 333 times); Larsen, Nate (Cited 2 times); Lawton, Nick (Cited 11 times); Kalen, Sam (Cited 208 times); Miller, Stephen R. (Cited 110 times); Powers, Melissa (Cited 70 times); Righetti, Tara (Cited 1 times); Rule, Troy A. (Cited 173 times); Schlusser, Amelia (Cited 2 times)",1663,"Idaho Law Review, Vol. 52, Issue 1 (2016), pp. 387-[xii]",52 Idaho L. Rev. 387 (2016),"Indian Law, Proof, Technology",2,na,12
Wind Rights under Property Law: Answers Still Blowing in the Wind [article],"Rule, Troy A. (Cited 173 times)",1663,"Probate and Property, Vol. 26, Issue 6 (November/December 2012), pp. 56-59",26 Prob. & Prop. 56 (2012),"Property, Property Law, Leases, Contracts, Legislation",2,na,10
Airspace in a Green Economy [article],"Rule, Troy A. (Cited 173 times)",1663,"UCLA Law Review, Vol. 59, Issue 2 (December 2011), pp. 270-321",59 UCLA L. Rev. [iv] (2011-2012),"Air and Space Law, Military Law, Natural Resources Law, International Law, Military, War and Peace",na,na,na
Buying Power: Utility Dark Money and the Battle over Rooftop Solar [article],"Rule, Troy A. (Cited 173 times)",1663,"LSU Journal of Energy Law and Resources, Vol. 5, Issue 1 (Spring 2017), pp. 1-20",5 LSU J. Energy L. & Resources 1 (2017),"Money, Politics, Solar Energy, Utilities, Death",na,na,9
